Full File Path,Site Location,Date,Camera
Camera/Nima_31_05_2019_C26_S45.7z,Nima,31_05_2019,C26
Camera/EL_19_08_2019_C32_S45.7z,East Legon,19_08_2019,C32
Camera/JT_10_05_2019_C11_S7.7z,Jamestown,10_05_2019,C11
Camera/N1West_29_07_2019_C36_S14.7z,N1 West Motorway,29_07_2019,C36
Camera/UGH_03_06_2019_C5_S34.7z,University of Ghana,03_06_2019,C5
Camera/AD_03_01_2020_C17_S32.7z,Asylum Down,03_01_2020,C17
Camera/JT_09_08_2019_C31_S21.7z,Jamestown,09_08_2019,C31
Camera/TMW_01_07_2019_C30_S43.7z,Tema Motorway,01_07_2019,C30
Camera/UGH_06_05_2019_C5_S43.7z,University of Ghana,06_05_2019,C5
Camera/N1West_09_03_2020_C36_S32.7z,N1 West Motorway,09_03_2020,C36
Camera/JT_11_10_2019_C31_S42.7z,Jamestown,11_10_2019,C31
Camera/Nima_27_12_2019_C27_S28.7z,Nima,27_12_2019,C27
Camera/UGH_20_05_2019_C5_S17.7z,University of Ghana,20_05_2019,C5
Camera/Taifa_13_12_2019_C22_S32.7z,Taifa,13_12_2019,C22
Camera/TF_10_05_2019_C21_S31.7z,Taifa,10_05_2019,C21
Camera/TMW_16_03_2020_C30_S46.7z,Tema Motorway,16_03_2020,C30
Camera/Nima_28_02_2020_C27_S21.7z,Nima,28_02_2020,C27
Camera/TMW_12_08_2019_C30_S26.7z,Tema Motorway,12_08_2019,C30
Camera/AD_25_10_2019_C4_S18.7z,Asylum Down,25_10_2019,C4
Camera/UGH_19_08_2019_C25_S42.7z,University of Ghana,19_08_2019,C25
Camera/AD_07_02_2020_C17_S45.7z,Asylum Down,07_02_2020,C17
Camera/AD_10_05_2019_C17_S44.7z,Asylum Down,10_05_2019,C17
Camera/UGH_05_08_2019_C25_S45.7z,University of Ghana,05_08_2019,C25
Camera/Ash_24_06_2019_C6_s10.7z,Ashaiman,24_06_2019,C6
Camera/AD_06_09_2019_C4_S36.7z,Asylum Down,06_09_2019,C4
Camera/Taifa_21_02_2020_C22_S85.7z,Taifa,21_02_2020,C22
Camera/Taifa_20_03_2020_C21_S5.7z,Taifa,20_03_2020,C21
Camera/TMW_25_11_2019_C19_S2.7z,Tema Motorway,25_11_2019,C19
Camera/ASH_24_02_2020_C6_S61.7z,Ashaiman,24_02_2020,C6
Camera/AD_27_03_2020_C4_S42.7z,Asylum Down,27_03_2020,C4
Camera/Taifa_02_08_2019_C22_S26.7z,Taifa,02_08_2019,C22
Camera/AD_13_09_2019_C17_S9.7z,Asylum Down,13_09_2019,C17
Camera/UGH_23_09_2019_C33_S8.7z,University of Ghana,23_09_2019,C33
Camera/JT_25_10_2019_C31_S28.7z,Jamestown,25_10_2019,C31
Camera/UGH_02_12_2019_C33_S60.7z,University of Ghana,02_12_2019,C33
Camera/Nima_28_06_2019_C2_S9.7z,Nima,28_06_2019,C2
Camera/TMW_23_03_2020_C19_S11.7z,Tema Motorway,23_03_2020,C19
Camera/UGH_13_05_2019_C5_S15.7z,University of Ghana,13_05_2019,C5
Camera/Nima_09_08_2019_C27_S63.7z,Nima,09_08_2019,C27
Camera/ASH_16_03_2020_C6_S61.7z,Ashaiman,16_03_2020,C6
Camera/EL_24_06_2019_C32_s30.7z,East Legon,24_06_2019,C32
Camera/EL_06_05_2019_C18_S6.7z,East Legon,06_05_2019,C18
Camera/AD_27_03_2020_C17_S8.7z,Asylum Down,27_03_2020,C17
Camera/ASH_28_10_2019_C6_S65.7z,Ashaiman,28_10_2019,C6
Camera/Taifa_09_08_2019_C21_S42.7z,Taifa,09_08_2019,C21
Camera/LA_21_06_2019_C35_S43.7z,Labadi,21_06_2019,C35
Camera/Nima_01_11_2019_C2_S31.7z,Nima,01_11_2019,C2
Camera/Taifa_07_06_2019_C21_S18.7z,Taifa,07_06_2019,C21
Camera/TMW_02_09_2019_C19_S9.7z,Tema Motorway,02_09_2019,C19
Camera/N1West_30_09_2019_C15_S36.7z,N1 West Motorway,30_09_2019,C15
Camera/TMW_11_11_2019_C30_S45.7z,Tema Motorway,11_11_2019,C30
Camera/N1West_12_08_2019_C15_S36.7z,N1 West Motorway,12_08_2019,C15
Camera/Taifa_13_12_2019_C21_S44.7z,Taifa,13_12_2019,C21
Camera/N1West_09_09_2019_C36_S34.7z,N1 West Motorway,09_09_2019,C36
Camera/EL_23_09_2019_C32_S110.7z,East Legon,23_09_2019,C32
Camera/Nima_31_01_2020_C27_S46.7z,Nima,31_01_2020,C27
Camera/LA_11_10_2019_C16_S21.7z,Labadi,11_10_2019,C16
Camera/Taifa_14_02_2020_C22_S28.7z,Taifa,14_02_2020,C22
Camera/TMW_24_02_2020_C19_S2.7z,Tema Motorway,24_02_2020,C19
Camera/EL_29_-04_2019_C18_S45.7z,East Legon,29_-04_2019,C18
Camera/N1West_03_06_2019_C15_S22.7z,N1 West Motorway,03_06_2019,C15
Camera/TMW_06_01_2020_C19_S34.7z,Tema Motorway,06_01_2020,C19
Camera/N1West_17_06_2019_C15_S45.7z,N1 West Motorway,17_06_2019,C15
Camera/EL_09_03_2020_C32_S21.7z,East Legon,09_03_2020,C32
Camera/LA_07_02_2020_C16_S49.7z,Labadi,07_02_2020,C16
Camera/TMW_14_10_2019_C19_S9.7z,Tema Motorway,14_10_2019,C19
Camera/N1West_10_02_2020_C15_S44.7z,N1 West Motorway,10_02_2020,C15
Camera/N1West_29_07_2019_C15_S21.7z,N1 West Motorway,29_07_2019,C15
Camera/EL_08_07_2019_C32_S45.7z,East Legon,08_07_2019,C32
Camera/Taifa_23_08_2019_C22_S14.7z,Taifa,23_08_2019,C22
Camera/N1West_01_07_2019_C15_S45.7z,N1 West Motorway,01_07_2019,C15
Camera/UGH_25_11_2019_C33_S9.7z,University of Ghana,25_11_2019,C33
Camera/N1West_09_03_2020_C15_S30.7z,N1 West Motorway,09_03_2020,C15
Camera/TMW_02_03_2020_C30_S46.7z,Tema Motorway,02_03_2020,C30
Camera/AD_09_08_2019_C4_S45.7z,Asylum Down,09_08_2019,C4
Camera/UGH_24_02_2020_C33_S10.7z,University of Ghana,24_02_2020,C33
Camera/EL_06_05_2019_C28_S35.7z,East Legon,06_05_2019,C28
Camera/TMW_04_11_2019_C30_S110.7z,Tema Motorway,04_11_2019,C30
Camera/ASH_26_08_2019_C6_S61.7z,Ashaiman,26_08_2019,C6
Camera/LA_06_09_2019_C16_S5.7z,Labadi,06_09_2019,C16
Camera/Taifa_31_05_2019_C21_S42.7z,Taifa,31_05_2019,C21
Camera/AD_21_02_2020_C4_S31.7z,Asylum Down,21_02_2020,C4
Camera/NM_10_05_2019_C26_S42(4).7z,Nima,10_05_2019,C26
Camera/AD_14_02_2020_C17_S32.7z,Asylum Down,14_02_2020,C17
Camera/TMW_19_08_2019_C19_S21.7z,Tema Motorway,19_08_2019,C19
Camera/UGH_09_09_2019_C33_S11.7z,University of Ghana,09_09_2019,C33
Camera/TMW_16_09_2019_C30_S61.7z,Tema Motorway,16_09_2019,C30
Camera/Taifa_25_10_2019_C22_S33.7z,Taifa,25_10_2019,C22
Camera/Taifa_20_03_2020_C22_S22.7z,Taifa,20_03_2020,C22
